Date,Open,High,Low,Close,Volume
2025-11-09,0.0,320.0,315.0,316.2,57077
2025-11-10,0.0,319.9,311.0,315.9,46722
2025-11-11,0.0,319.0,311.5,312.2,42493
2025-11-12,0.0,316.4,311.5,311.8,31341
2025-11-13,0.0,314.0,308.2,308.9,46844
2025-11-16,0.0,312.0,307.2,308.3,25022
2025-11-17,0.0,310.0,307.0,307.5,43796
2025-11-18,0.0,309.6,306.3,309.0,34492
2025-11-19,0.0,311.9,305.7,306.9,35247
2025-11-20,0.0,307.5,304.5,306.4,47593
2025-11-23,0.0,312.2,307.0,309.0,52221
2025-11-24,0.0,316.9,309.0,316.9,87011
2025-11-25,0.0,320.0,312.1,320.0,45468
2025-11-26,0.0,335.0,315.0,326.0,98559
2025-11-27,0.0,343.1,321.0,334.9,199986
2025-11-30,0.0,340.0,328.0,330.0,77227
2025-12-01,0.0,330.9,323.4,324.0,60641
2025-12-02,0.0,327.0,317.1,326.9,60134
2025-12-03,0.0,328.7,319.5,320.0,29618
2025-12-07,0.0,321.0,315.0,315.8,47682
2025-12-08,0.0,319.0,314.0,317.0,27639
2025-12-09,0.0,321.0,315.6,316.1,26045
2025-12-10,0.0,319.9,315.0,316.2,34740
2025-12-11,0.0,318.5,315.5,316.0,28406
2025-12-14,0.0,320.0,315.3,317.0,47378
2025-12-15,0.0,330.2,316.0,328.0,152335
2025-12-16,0.0,331.9,323.5,326.0,40675
2025-12-17,0.0,327.9,321.0,323.0,31340
2025-12-18,0.0,324.0,316.6,317.0,64599
2025-12-21,0.0,320.0,315.2,317.0,26822
2025-12-22,0.0,319.0,310.0,315.4,62478
2025-12-23,0.0,319.0,312.8,318.0,33536
2025-12-24,0.0,322.9,316.5,321.0,35797
2025-12-28,0.0,336.0,320.6,335.0,131308
2025-12-29,0.0,335.0,324.0,325.0,56073
2025-12-31,0.0,332.0,324.6,327.0,45656
2026-01-01,0.0,332.9,322.2,324.8,25445
2026-01-04,0.0,356.0,331.0,344.0,634749
2026-01-05,0.0,355.5,344.2,352.3,226433
2026-01-06,0.0,359.0,351.0,353.1,147211
2026-01-07,0.0,354.0,343.8,343.8,135639
2026-01-08,0.0,349.0,337.0,345.9,92775
2026-01-12,0.0,348.9,339.0,339.1,63530
2026-01-13,0.0,373.0,332.4,338.0,142207
2026-01-14,0.0,342.0,331.3,334.2,87141
2026-01-18,0.0,347.0,335.0,339.0,163190
2026-01-20,0.0,350.0,332.5,346.0,141100
2026-01-21,0.0,348.0,340.0,342.0,91181
2026-01-22,0.0,347.9,337.0,341.9,71540
2026-01-25,0.0,355.0,340.0,351.2,164488
2026-01-26,0.0,365.0,347.7,356.0,250861
2026-01-27,0.0,362.0,346.0,347.0,108099
2026-01-28,0.0,350.0,344.0,345.9,75584
2026-01-29,0.0,343.0,337.0,337.3,106393
2026-02-01,0.0,338.0,330.5,330.5,88265
2026-02-02,0.0,338.0,330.5,334.0,39025
2026-02-03,0.0,337.8,321.5,328.0,106817
2026-02-04,0.0,332.9,322.0,326.0,69033
2026-02-05,0.0,329.9,325.0,327.7,55997
2026-02-08,0.0,333.9,327.3,328.7,48970
2026-02-09,0.0,328.2,322.2,323.0,114234
2026-02-10,0.0,327.9,320.5,322.0,74460
2026-02-11,0.0,328.0,315.6,320.9,72607
2026-02-12,0.0,330.0,320.1,329.9,195633
2026-02-16,0.0,330.0,324.2,325.9,25760
2026-02-17,0.0,330.0,322.0,323.0,145521
2026-02-22,0.0,327.5,320.4,321.0,34856
2026-02-23,0.0,324.5,320.0,322.0,53331
2026-02-24,0.0,326.9,321.0,323.7,24034
2026-02-25,0.0,326.0,322.0,322.3,32708
2026-02-26,0.0,328.7,322.8,325.0,29539
2026-03-01,0.0,329.5,322.0,329.5,42373
2026-03-03,0.0,338.0,327.5,334.9,55876
2026-03-09,0.0,355.2,341.5,355.2,690
2026-03-10,0.0,360.0,339.0,349.7,338163
2026-03-11,0.0,352.0,341.0,344.0,110266
2026-03-12,0.0,356.4,338.2,349.7,179017
2026-03-15,0.0,354.7,345.0,348.5,100898
2026-03-16,0.0,347.0,341.6,342.6,70422
2026-03-17,0.0,347.0,338.0,345.0,64570
2026-03-19,0.0,367.0,346.0,366.0,326932
2026-03-22,0.0,390.0,367.1,389.0,515134
2026-03-23,0.0,396.7,376.0,389.0,314867
2026-03-24,0.0,411.0,377.4,394.0,585324
2026-03-25,0.0,404.9,387.0,398.0,498555
2026-03-26,0.0,402.0,390.0,401.0,321458
2026-03-29,0.0,401.0,383.7,383.7,444715
2026-03-30,0.0,388.0,370.0,370.6,309907
2026-03-31,0.0,387.6,365.0,380.2,294429
2026-04-01,0.0,387.8,372.5,374.0,220782
2026-04-02,0.0,381.4,367.3,376.9,195379
2026-04-05,0.0,371.0,352.1,353.0,302502
